pid_num,task_num,task,setup,duration,cutting
16612,0,t13,1516885069.0,3,1516885072.0
18824,0,t14,1516885069.0,3,1516885072.0
14476,0,t21,1516885069.0,3,1516885072.0
16756,0,t22,1516885069.0,3,1516885072.0
15244,0,t16,1516885069.0,4,1516885073.0
2704,0,t11,1516885069.0,4,1516885073.0
18816,0,t15,1516885069.0,4,1516885073.0
15188,0,t12,1516885069.0,5,1516885074.0
15244,1,t27,1516885073.0,8,1516885081.0
18824,1,t31,1516885072.0,9,1516885081.0
16612,1,t34,1516885072.0,9,1516885081.0
14476,1,t32,1516885072.0,9,1516885081.0
16756,1,t24,1516885072.0,9,1516885081.0
2704,1,t33,1516885073.0,9,1516885082.0
18816,1,t26,1516885073.0,9,1516885082.0
15188,1,t25,1516885074.0,9,1516885083.0
18824,2,t43,1516885081.0,3,1516885084.0
14476,2,t42,1516885081.0,3,1516885084.0
15244,2,t35,1516885081.0,4,1516885085.0
2704,2,t36,1516885082.0,3,1516885085.0
16756,2,t51,1516885081.0,4,1516885085.0
18816,2,t52,1516885082.0,3,1516885085.0
16612,2,t53,1516885081.0,5,1516885086.0
15188,2,t41,1516885083.0,4,1516885087.0
18824,3,t56,1516885084.0,9,1516885093.0
14476,3,t54,1516885084.0,9,1516885093.0
15244,3,t55,1516885085.0,9,1516885094.0
