pid_num,vm,task_num,task,setup,duration,cutting
7380,v13,0,t11,1519372957.398,4.75,1519372962.148
9540,v23,0,t22,1519372957.539,5.035,1519372962.586
4964,v32,0,t16,1519372957.601,5.432,1519372963.039
6996,v12,0,t13,1519372957.398,5.763,1519372963.164
13112,v22,0,t14,1519372957.523,6.094,1519372963.633
3156,v11,0,t23,1519372957.101,7.04,1519372964.148
13804,v31,0,t15,1519372957.539,6.609,1519372964.148
6208,v21,0,t12,1519372957.523,7.259,1519372964.789
4964,v13,1,t26,1519372963.039,4.857,1519372967.898
9540,v12,1,t27,1519372962.586,5.861,1519372968.461
3156,v23,1,t32,1519372964.148,5.166,1519372969.32
7380,v11,1,t31,1519372962.148,7.238,1519372969.398
13112,v22,1,t33,1519372963.633,6.301,1519372969.945
6208,v32,1,t25,1519372964.789,5.596,1519372970.398
6996,v21,1,t24,1519372963.164,7.518,1519372970.695
13804,v31,1,t34,1519372964.148,6.832,1519372970.992
3156,v13,2,t52,1519372969.32,4.717,1519372974.039
9540,v12,2,t41,1519372968.461,5.754,1519372974.227
4964,v11,2,t54,1519372967.898,7.041,1519372974.945
6208,v23,2,t53,1519372970.398,5.02,1519372975.43
13112,v22,2,t55,1519372969.945,6.156,1519372976.102
13804,v32,2,t51,1519372970.992,5.398,1519372976.398
7380,v21,2,t36,1519372969.398,7.278,1519372976.68
6996,v31,2,t43,1519372970.695,6.628,1519372977.336
3156,v32,3,t56,1519372974.039,5.512,1519372979.555
