pid_num,vm,task_num,task,setup,duration,cutting
14860,v13,0,t13,1521534329.084,4.008,1521534333.092
21408,v23,0,t17,1521534330.27,4.093,1521534334.363
12396,v12,0,t16,1521534329.064,5.452,1521534334.517
17664,v11,0,t18,1521534328.817,5.84,1521534334.657
18372,v32,0,t12,1521534330.655,4.446,1521534335.101
18812,v22,0,t11,1521534329.597,5.746,1521534335.343
12816,v31,0,t15,1521534330.334,5.469,1521534335.804
18848,v21,0,t14,1521534329.372,6.873,1521534336.245
12396,v13,1,t114,1521534334.518,4.852,1521534339.37
14860,v11,1,t116,1521534333.095,6.5,1521534339.595
18372,v22,1,t19,1521534335.101,4.969,1521534340.07
18812,v23,1,t112,1521534335.345,4.914,1521534340.26
21408,v12,1,t113,1521534334.364,6.221,1521534340.585
18848,v32,1,t115,1521534336.246,5.736,1521534341.982
12816,v31,1,t110,1521534335.804,7.51,1521534343.315
17664,v21,1,t111,1521534334.658,8.815,1521534343.473
18372,v13,2,t121,1521534340.074,3.988,1521534344.063
14860,v12,2,t120,1521534339.596,4.982,1521534344.578
21408,v22,2,t123,1521534340.586,5.035,1521534345.621
12396,v11,2,t118,1521534339.371,6.328,1521534345.699
18848,v23,2,t117,1521534341.982,4.149,1521534346.132
18812,v21,2,t122,1521534340.262,6.138,1521534346.4
17664,v32,2,t124,1521534343.475,4.453,1521534347.929
12816,v31,2,t119,1521534343.315,5.957,1521534349.281
14860,v12,3,t126,1521534344.579,4.843,1521534349.423
21408,v13,3,t125,1521534345.622,4.188,1521534349.81
18372,v11,3,t128,1521534344.063,6.333,1521534350.396
18812,v23,3,t127,1521534346.4,4.903,1521534351.308
18848,v22,3,t131,1521534346.132,5.319,1521534351.451
12396,v21,3,t132,1521534345.699,6.35,1521534352.05
12816,v32,3,t130,1521534349.281,4.649,1521534353.93
17664,v31,3,t129,1521534347.929,6.134,1521534354.063
18372,v13,4,t137,1521534350.396,4.15,1521534354.548
14860,v11,4,t139,1521534349.425,5.721,1521534355.146
21408,v12,4,t136,1521534349.812,6.666,1521534356.479
12396,v23,4,t138,1521534352.051,5.385,1521534357.436
18848,v22,4,t135,1521534351.453,6.198,1521534357.653
18812,v21,4,t134,1521534351.313,7.404,1521534358.717
17664,v32,4,t140,1521534354.063,4.865,1521534358.928
14860,v12,5,t142,1521534355.146,5.082,1521534360.23
21408,v13,5,t146,1521534356.479,3.843,1521534360.323
18372,v11,5,t144,1521534354.548,6.079,1521534360.627
12816,v31,4,t133,1521534353.931,7.799,1521534361.73
18812,v23,5,t143,1521534358.722,4.152,1521534362.874
18848,v22,5,t147,1521534357.655,5.429,1521534363.084
12396,v21,5,t148,1521534357.441,6.152,1521534363.593
17664,v31,5,t141,1521534358.928,5.901,1521534364.83
14860,v32,5,t145,1521534360.231,5.132,1521534365.363
18372,v12,6,t152,1521534360.628,5.289,1521534365.917
12816,v13,6,t156,1521534361.73,4.303,1521534366.034
21408,v11,6,t149,1521534360.324,6.16,1521534366.485
12396,v23,6,t151,1521534363.594,4.113,1521534367.709
18848,v22,6,t154,1521534363.086,4.965,1521534368.051
18812,v21,6,t150,1521534362.875,5.957,1521534368.832
14860,v32,6,t153,1521534365.377,4.476,1521534369.853
17664,v31,6,t155,1521534364.831,5.756,1521534370.587
21408,v13,7,t161,1521534366.487,4.377,1521534370.864
12816,v12,7,t160,1521534366.036,5.056,1521534371.092
18372,v11,7,t158,1521534365.919,7.285,1521534373.204
18848,v22,7,t162,1521534368.053,5.908,1521534373.962
18812,v23,7,t157,1521534368.836,6.049,1521534374.885
12396,v21,7,t21,1521534367.709,8.048,1521534375.757
12816,v12,8,t23,1521534371.092,4.89,1521534375.982
14860,v31,7,t159,1521534369.854,6.263,1521534376.117
17664,v32,7,t163,1521534370.588,5.893,1521534376.481
18372,v13,8,t27,1521534373.205,3.894,1521534377.101
21408,v11,8,t28,1521534370.867,6.469,1521534377.336
18812,v22,8,t22,1521534374.887,5.015,1521534379.904
12396,v23,8,t26,1521534375.757,4.273,1521534380.033
18848,v21,8,t29,1521534373.962,6.381,1521534380.343
14860,v32,8,t25,1521534376.118,4.611,1521534380.73
21408,v13,9,t212,1521534377.336,3.942,1521534381.278
12816,v31,8,t24,1521534375.983,5.612,1521534381.596
18372,v12,9,t215,1521534377.103,5.106,1521534382.209
17664,v11,9,t211,1521534376.483,5.767,1521534382.25
18848,v23,9,t210,1521534380.344,4.194,1521534384.539
12396,v22,9,t216,1521534380.035,5.029,1521534385.064
21408,v32,9,t214,1521534381.281,4.475,1521534385.757
18812,v21,9,t217,1521534379.906,6.038,1521534385.945
14860,v31,9,t213,1521534380.735,5.717,1521534386.453
17664,v13,10,t222,1521534382.252,4.484,1521534386.737
18372,v12,10,t225,1521534382.209,5.247,1521534387.456
12816,v11,10,t223,1521534381.598,6.445,1521534388.045
12396,v22,10,t218,1521534385.066,5.07,1521534390.137
18848,v21,10,t219,1521534384.539,7.153,1521534391.697
21408,v23,10,t221,1521534385.758,6.06,1521534391.818
14860,v32,10,t224,1521534386.453,5.582,1521534392.035
12816,v13,11,t228,1521534388.048,4.094,1521534392.144
18372,v12,11,t229,1521534387.456,4.948,1521534392.404
17664,v11,11,t227,1521534386.738,5.859,1521534392.598
18812,v31,10,t220,1521534385.947,6.906,1521534392.853
21408,v23,11,t230,1521534391.821,4.313,1521534396.134
12396,v21,11,t226,1521534390.138,6.02,1521534396.158
12816,v32,11,t233,1521534392.147,4.466,1521534396.613
18848,v22,11,t231,1521534391.702,5.138,1521534396.841
18812,v13,12,t234,1521534392.854,4.424,1521534397.278
17664,v12,12,t239,1521534392.599,5.248,1521534397.848
14860,v31,11,t232,1521534392.036,6.074,1521534398.113
18372,v11,12,t240,1521534392.406,6.156,1521534398.563
12816,v23,12,t236,1521534396.615,4.472,1521534401.088
12396,v22,12,t241,1521534396.159,5.062,1521534401.221
18812,v32,12,t238,1521534397.282,4.622,1521534401.904
18848,v31,12,t235,1521534396.841,5.593,1521534402.434
21408,v21,12,t237,1521534396.134,6.696,1521534402.83
17664,v11,13,t244,1521534397.848,6.081,1521534403.93
14860,v12,13,t242,1521534398.115,5.855,1521534403.97
18372,v13,13,t246,1521534398.564,5.652,1521534404.217
18812,v23,13,t249,1521534401.904,5.114,1521534407.019
12396,v22,13,t247,1521534401.221,6.979,1521534408.2
12816,v21,13,t245,1521534401.088,7.127,1521534408.217
18372,v13,14,t254,1521534404.219,4.242,1521534408.464
18848,v31,13,t243,1521534402.434,6.244,1521534408.679
14860,v12,14,t252,1521534403.97,4.867,1521534408.837
21408,v32,13,t248,1521534402.831,6.114,1521534408.946
17664,v11,14,t255,1521534403.932,5.784,1521534409.716
12816,v23,14,t257,1521534408.218,4.117,1521534412.335
18812,v21,14,t250,1521534407.019,6.083,1521534413.102
12396,v22,14,t253,1521534408.202,5.347,1521534413.549
18848,v32,14,t256,1521534408.68,4.893,1521534413.574
21408,v12,15,t262,1521534408.947,4.702,1521534413.65
18372,v31,14,t251,1521534408.467,5.606,1521534414.073
14860,v11,15,t263,1521534408.837,5.757,1521534414.595
17664,v13,15,t261,1521534409.717,5.228,1521534414.945
12396,v23,15,t258,1521534413.549,4.591,1521534418.141
21408,v32,15,t264,1521534413.651,4.545,1521534418.196
18812,v22,15,t265,1521534413.102,5.187,1521534418.289
12816,v21,15,t259,1521534412.335,5.962,1521534418.297
18372,v11,16,t269,1521534414.081,5.735,1521534419.817
18848,v31,15,t260,1521534413.575,6.623,1521534420.198
17664,v13,16,t270,1521534414.946,5.467,1521534420.413
14860,v12,16,t268,1521534414.595,6.915,1521534421.511
18812,v23,16,t266,1521534418.294,5.897,1521534424.192
12816,v31,16,t273,1521534418.298,6.14,1521534424.439
21408,v22,16,t272,1521534418.196,6.867,1521534425.063
18372,v32,16,t267,1521534419.817,5.418,1521534425.235
17664,v12,17,t33,1521534420.414,5.04,1521534425.455
14860,v13,17,t277,1521534421.513,3.978,1521534425.491
18848,v11,17,t34,1521534420.198,5.93,1521534426.129
12396,v21,16,t271,1521534418.143,8.68,1521534426.824
21408,v23,17,t275,1521534425.063,4.168,1521534429.231
12816,v22,17,t31,1521534424.442,5.486,1521534429.928
17664,v32,17,t32,1521534425.456,4.538,1521534429.995
18372,v31,17,t274,1521534425.235,5.513,1521534430.748
18812,v21,17,t276,1521534424.193,6.568,1521534430.761
12396,v13,18,t35,1521534426.826,4.006,1521534430.832
18848,v12,18,t310,1521534426.129,5.423,1521534431.553
14860,v11,18,t37,1521534425.492,7.282,1521534432.775
17664,v23,18,t312,1521534429.995,4.173,1521534434.169
12816,v22,18,t36,1521534429.93,5.053,1521534434.984
