pid_num,vm,task_num,task,setup,duration,cutting
21556,v13,0,t18,1521549773.618,3.876,1521549777.495
25560,v32,0,t15,1521549773.506,5.479,1521549778.985
22604,v12,0,t12,1521549773.479,5.786,1521549779.266
13724,v22,0,t13,1521549773.484,5.79,1521549779.275
19924,v23,0,t14,1521549773.546,5.859,1521549779.406
19028,v21,0,t16,1521549773.634,6.55,1521549780.184
25252,v31,0,t11,1521549773.6,7.332,1521549780.932
4592,v11,0,t17,1521549773.484,8.467,1521549781.952
21556,v11,1,t22,1521549777.495,6.756,1521549784.251
22604,v13,1,t19,1521549779.266,5.184,1521549784.45
25560,v12,1,t112,1521549778.985,6.192,1521549785.177
19028,v23,1,t23,1521549780.184,5.193,1521549785.378
19924,v22,1,t110,1521549779.406,6.161,1521549785.567
4592,v32,1,t21,1521549781.953,4.829,1521549786.782
13724,v21,1,t111,1521549779.275,7.741,1521549787.017
25252,v31,1,t113,1521549780.932,7.888,1521549788.821
25560,v13,2,t211,1521549785.177,4.25,1521549789.428
22604,v12,2,t28,1521549784.45,5.039,1521549789.49
21556,v11,2,t25,1521549784.251,5.897,1521549790.149
19924,v22,2,t210,1521549785.567,5.323,1521549790.891
4592,v23,2,t27,1521549786.782,4.291,1521549791.075
19028,v21,2,t24,1521549785.378,6.223,1521549791.602
13724,v31,2,t26,1521549787.017,5.41,1521549792.428
25252,v32,2,t29,1521549788.821,5.066,1521549793.887
22604,v32,3,t213,1521549789.49,5.083,1521549794.573
25560,v12,3,t212,1521549789.428,5.966,1521549795.395
19028,v13,3,t215,1521549791.603,4.636,1521549796.239
21556,v31,3,t216,1521549790.149,7.313,1521549797.462
19924,v22,3,t218,1521549790.891,7.081,1521549797.972
13724,v23,3,t217,1521549792.428,5.598,1521549798.026
4592,v11,3,t219,1521549791.075,7.071,1521549798.146
25560,v12,4,t227,1521549795.395,5.113,1521549800.509
22604,v11,4,t222,1521549794.573,6.006,1521549800.58
25252,v21,3,t214,1521549793.887,7.515,1521549801.402
19028,v13,4,t221,1521549796.239,5.375,1521549801.614
13724,v23,4,t224,1521549798.026,5.566,1521549803.592
19924,v22,4,t225,1521549797.972,7.007,1521549804.98
21556,v21,4,t226,1521549797.462,7.947,1521549805.409
19028,v13,5,t34,1521549801.615,3.933,1521549805.548
4592,v31,4,t220,1521549798.146,7.649,1521549805.795
25252,v12,5,t38,1521549801.402,4.979,1521549806.382
25560,v32,4,t223,1521549800.509,6.129,1521549806.638
22604,v11,5,t37,1521549800.58,6.942,1521549807.522
21556,v23,5,t35,1521549805.409,4.687,1521549810.096
13724,v21,5,t36,1521549803.592,6.565,1521549810.158
4592,v32,5,t32,1521549805.795,4.455,1521549810.25
19924,v22,5,t33,1521549804.98,5.88,1521549810.861
19028,v31,5,t31,1521549805.549,5.627,1521549811.177
22604,v13,6,t312,1521549807.522,5.297,1521549812.819
25252,v22,6,t39,1521549806.382,6.713,1521549813.096
25560,v11,6,t310,1521549806.638,6.512,1521549813.151
21556,v23,6,t311,1521549810.098,4.798,1521549814.897
19028,v32,6,t313,1521549811.177,5.374,1521549816.551
19924,v12,6,t314,1521549810.861,6.298,1521549817.159
4592,v31,6,t316,1521549810.25,7.033,1521549817.284
25252,v12,7,t45,1521549813.096,4.892,1521549817.988
25560,v13,7,t47,1521549813.151,5.134,1521549818.285
22604,v11,7,t46,1521549812.819,5.724,1521549818.543
13724,v21,6,t315,1521549810.158,8.841,1521549818.999
19924,v23,7,t41,1521549817.159,4.567,1521549821.727
21556,v21,7,t43,1521549814.899,7.229,1521549822.128
25252,v32,7,t42,1521549817.988,4.861,1521549822.85
22604,v12,8,t413,1521549818.543,4.677,1521549823.221
13724,v13,8,t410,1521549819.0,4.431,1521549823.432
4592,v31,7,t48,1521549817.285,6.196,1521549823.482
19028,v22,7,t44,1521549816.551,7.395,1521549823.947
25560,v11,8,t415,1521549818.285,8.314,1521549826.6
21556,v22,8,t411,1521549822.128,5.174,1521549827.302
25252,v23,8,t412,1521549822.85,4.774,1521549827.625
19924,v21,8,t416,1521549821.727,6.068,1521549827.795
13724,v32,8,t49,1521549823.432,4.963,1521549828.395
22604,v31,8,t414,1521549823.221,5.366,1521549828.588
19028,v21,9,t419,1521549823.947,6.637,1521549830.584
4592,v11,9,t421,1521549823.482,7.78,1521549831.262
21556,v23,9,t417,1521549827.302,4.813,1521549832.115
25252,v13,9,t418,1521549827.625,4.67,1521549832.295
25560,v32,9,t420,1521549826.6,6.239,1521549832.839
22604,v12,9,t423,1521549828.588,5.288,1521549833.877
19924,v31,9,t424,1521549827.795,7.387,1521549835.182
13724,v22,9,t422,1521549828.395,7.333,1521549835.729
4592,v12,10,t56,1521549831.262,4.798,1521549836.061
21556,v13,10,t55,1521549832.115,5.376,1521549837.492
19028,v11,10,t52,1521549830.584,7.437,1521549838.022
25252,v21,10,t51,1521549832.296,6.42,1521549838.716
25560,v22,10,t57,1521549832.839,6.052,1521549838.897
22604,v23,10,t58,1521549833.877,5.109,1521549838.986
13724,v32,10,t53,1521549835.729,4.817,1521549840.546
19924,v31,10,t54,1521549835.182,5.908,1521549841.091
19028,v13,11,t512,1521549838.022,3.897,1521549841.919
21556,v12,11,t515,1521549837.493,4.765,1521549842.259
4592,v11,11,t516,1521549836.061,6.623,1521549842.684
25560,v22,11,t511,1521549838.897,5.136,1521549844.033
22604,v23,11,t510,1521549838.986,5.357,1521549844.344
25252,v21,11,t514,1521549838.716,6.253,1521549844.969
19924,v32,11,t59,1521549841.092,4.431,1521549845.523
13724,v31,11,t513,1521549840.546,5.977,1521549846.524
21556,v12,12,t518,1521549842.259,6.521,1521549848.78
4592,v22,12,t517,1521549842.684,6.58,1521549849.264
19028,v31,12,t519,1521549841.919,7.475,1521549849.395
