source_file,no_task,st_game,makespan,workload,profit,fairness1,fairness2,fairness3,ff
.\datafile\bigscale\+1\1,29,4,22.672,3.625,1.315,0.95715,0.969432,0.966317,0.963791
.\datafile\bigscale\+1\2,29,4,25.798,4.143,1.276,0.960616,0.960002,0.984578,0.962656
.\datafile\bigscale\+1\3,29,4,22.211,3.625,1.315,0.9487,0.960091,0.979955,0.960418
.\datafile\bigscale\+1\4,29,4,23.891,3.625,1.304,0.954788,0.963025,0.990141,0.965669
.\datafile\bigscale\+1\5,29,4,22.485,3.625,1.336,0.9556,0.969632,0.979677,0.967258
.\datafile\bigscale\+1\6,29,4,22.501,3.625,1.335,0.960808,0.969037,0.984101,0.969511
.\datafile\bigscale\+1\7,29,4,22.376,3.625,1.278,0.960364,0.982704,0.970782,0.971196
.\datafile\bigscale\+1\8,29,4,22.429,3.625,1.316,0.975975,0.964722,0.976792,0.969317
.\datafile\bigscale\+1\9,29,4,22.094,3.625,1.315,0.973986,0.971499,0.975585,0.972736
.\datafile\bigscale\+1\10,29,4,22.5,3.625,1.295,0.960765,0.971352,0.984145,0.970387
.\datafile\bigscale\+1\11,29,4,22.017,3.625,1.274,0.958521,0.963402,0.969334,0.962798
.\datafile\bigscale\+1\12,29,4,22.297,3.625,1.311,0.962762,0.977538,0.989183,0.974644
.\datafile\bigscale\+1\13,29,4,23.172,3.625,1.341,0.952125,0.965844,0.976669,0.96314
.\datafile\bigscale\+1\14,29,4,22.601,3.625,1.344,0.959393,0.981577,0.989644,0.974701
.\datafile\bigscale\+1\15,29,4,22.657,3.625,1.28,0.965104,0.96894,0.989123,0.9715
.\datafile\bigscale\+2\1,79,10,57.547,9.875,3.557,0.959078,0.969571,0.969056,0.965129
.\datafile\bigscale\+2\2,79,10,57.783,9.875,3.548,0.959624,0.974358,0.971104,0.9677
.\datafile\bigscale\+2\3,79,10,56.891,9.875,3.553,0.97419,0.969691,0.982317,0.973558
.\datafile\bigscale\+2\4,79,10,61.032,9.875,3.528,0.97387,0.960498,0.98767,0.971224
.\datafile\bigscale\+2\5,79,10,58.21,9.875,3.55,0.964167,0.962372,0.979891,0.966693
.\datafile\bigscale\+2\6,79,10,58.173,9.875,3.583,0.967437,0.963259,0.978338,0.967719
.\datafile\bigscale\+2\7,79,10,57.173,9.875,3.457,0.962842,0.971672,0.971511,0.967997
.\datafile\bigscale\+2\8,79,10,60.053,9.875,3.471,0.965464,0.960268,0.985769,0.968253
.\datafile\bigscale\+2\9,79,10,56.37,9.875,3.479,0.958491,0.969729,0.980942,0.96823
.\datafile\bigscale\+2\10,79,10,57.448,9.875,3.53,0.962096,0.975325,0.979577,0.97012
.\datafile\bigscale\+2\11,79,10,57.076,9.875,3.519,0.957593,0.972547,0.981071,0.968898
.\datafile\bigscale\+2\12,79,10,57.087,9.875,3.507,0.971772,0.97267,0.979595,0.973401
.\datafile\bigscale\+2\13,79,10,57.592,9.875,3.558,0.965976,0.969895,0.976134,0.969959
.\datafile\bigscale\+2\14,79,10,57.283,9.875,3.566,0.966605,0.97138,0.975068,0.970461
.\datafile\bigscale\+2\15,79,10,57.6,9.875,3.576,0.973016,0.967686,0.975371,0.971625
.\datafile\bigscale\+3\1,99,12,69.175,12.375,4.387,0.965774,0.970707,0.986005,0.972338
.\datafile\bigscale\+3\2,99,12,71.755,12.375,4.312,0.966408,0.969556,0.983577,0.971262
.\datafile\bigscale\+3\3,99,12,71.253,12.375,4.469,0.961942,0.964491,0.975423,0.966183
.\datafile\bigscale\+3\4,99,12,70.095,12.375,4.466,0.968947,0.972907,0.979026,0.97272
.\datafile\bigscale\+3\5,99,12,72.177,12.375,4.376,0.966706,0.964214,0.97706,0.96768
.\datafile\bigscale\+3\6,99,12,69.164,12.375,4.425,0.959947,0.972343,0.976012,0.968522
.\datafile\bigscale\+3\7,99,12,69.007,12.375,4.341,0.954805,0.958683,0.982847,0.962011
.\datafile\bigscale\+3\8,99,12,71.005,12.375,4.473,0.968823,0.968461,0.975299,0.969957
.\datafile\bigscale\+3\9,99,12,69.509,12.375,4.423,0.959288,0.963768,0.983295,0.966871
.\datafile\bigscale\+3\10,99,12,70.926,12.375,4.384,0.959599,0.963997,0.972996,0.964229
.\datafile\bigscale\+3\11,99,12,69.72,12.375,4.406,0.96486,0.968445,0.976486,0.968502
.\datafile\bigscale\+3\12,99,12,70.423,12.375,4.429,0.960105,0.963327,0.975707,0.96394
.\datafile\bigscale\+3\13,99,12,69.227,12.375,4.461,0.969682,0.976405,0.976354,0.973532
.\datafile\bigscale\+3\14,99,12,70.9,12.375,4.468,0.958902,0.959573,0.971436,0.961357
.\datafile\bigscale\+3\15,99,12,70.915,12.375,4.401,0.966426,0.959705,0.979697,0.966636
.\datafile\bigscale\+4\1,129,16,91.32,16.125,5.693,0.964092,0.966793,0.976064,0.967102
.\datafile\bigscale\+4\2,129,16,91.706,16.125,5.762,0.968087,0.960452,0.983703,0.968171
.\datafile\bigscale\+4\3,129,16,92.002,16.125,5.738,0.959895,0.972364,0.975324,0.968331
.\datafile\bigscale\+4\4,129,16,90.93,16.125,5.742,0.963341,0.966356,0.971663,0.965922
.\datafile\bigscale\+4\5,129,16,91.152,16.125,5.732,0.96382,0.969789,0.973381,0.967966
.\datafile\bigscale\+4\6,129,16,93.857,16.125,5.731,0.95661,0.966642,0.976986,0.965097
.\datafile\bigscale\+4\7,129,16,91.484,16.125,5.727,0.963987,0.962988,0.974787,0.965659
.\datafile\bigscale\+4\8,129,16,91.779,16.125,5.691,0.956063,0.971732,0.986232,0.969087
.\datafile\bigscale\+4\9,129,16,93.052,16.125,5.705,0.966334,0.966783,0.97845,0.968923
.\datafile\bigscale\+4\10,129,16,93.241,16.125,5.753,0.9536,0.956535,0.977188,0.960065
.\datafile\bigscale\+4\11,129,16,91.41,16.125,5.729,0.967563,0.963441,0.97561,0.967569
.\datafile\bigscale\+4\12,129,16,92.405,16.125,5.793,0.960909,0.968244,0.970941,0.965718
.\datafile\bigscale\+4\13,129,16,90.727,16.125,5.641,0.969985,0.964377,0.9801,0.969997
.\datafile\bigscale\+4\14,129,16,93.016,16.125,5.597,0.954481,0.966368,0.983852,0.965721
.\datafile\bigscale\+4\15,129,16,92.735,16.125,5.75,0.964487,0.953632,0.975625,0.961534
.\datafile\bigscale\+5\1,149,19,105.528,18.625,6.607,0.963583,0.96564,0.976527,0.967129
.\datafile\bigscale\+5\2,149,19,105.949,18.625,6.655,0.965693,0.957385,0.983217,0.966193
.\datafile\bigscale\+5\3,149,19,107.645,18.625,6.694,0.961805,0.965212,0.973738,0.965617
.\datafile\bigscale\+5\4,149,19,105.191,18.625,6.667,0.964003,0.967898,0.975499,0.9679
.\datafile\bigscale\+5\5,149,19,104.394,18.625,6.529,0.965807,0.960078,0.980536,0.966065
.\datafile\bigscale\+5\6,149,19,106.2,18.625,6.667,0.954226,0.968809,0.982666,0.966552
.\datafile\bigscale\+5\7,149,19,107.204,18.625,6.662,0.96076,0.958409,0.976215,0.963372
.\datafile\bigscale\+5\8,149,19,104.787,18.625,6.647,0.968698,0.966023,0.983147,0.970763
.\datafile\bigscale\+5\9,149,19,105.164,18.625,6.557,0.957469,0.963807,0.979084,0.964438
.\datafile\bigscale\+5\10,149,19,106.05,18.625,6.637,0.96424,0.974626,0.97976,0.970442
.\datafile\bigscale\+5\11,149,19,107.188,18.625,6.732,0.96094,0.962913,0.97191,0.963609
.\datafile\bigscale\+5\12,149,19,105.94,18.625,6.662,0.957517,0.970837,0.976793,0.967072
.\datafile\bigscale\+5\13,149,19,106.386,18.625,6.712,0.970608,0.95717,0.973335,0.965124
.\datafile\bigscale\+5\14,149,19,107.043,18.625,6.646,0.965225,0.9617,0.977319,0.966183
.\datafile\bigscale\+5\15,149,19,106.229,18.625,6.602,0.960218,0.956786,0.985177,0.96425
.\datafile\bigscale\+6\1,179,22,127.69,22.375,8.069,0.960701,0.968476,0.973044,0.966379
.\datafile\bigscale\+6\2,179,22,129.54,22.375,7.961,0.962285,0.963063,0.978518,0.965913
.\datafile\bigscale\+6\3,179,22,127.484,22.375,7.997,0.959438,0.969662,0.977905,0.967529
.\datafile\bigscale\+6\4,179,22,126.09,22.375,7.905,0.956173,0.963046,0.983201,0.964823
.\datafile\bigscale\+6\5,179,22,126.246,22.375,7.995,0.96461,0.967743,0.976635,0.968452
.\datafile\bigscale\+6\6,179,22,126.32,22.375,7.893,0.957058,0.973449,0.980417,0.968967
.\datafile\bigscale\+6\7,179,22,127.196,22.375,7.898,0.959117,0.968721,0.970569,0.965484
.\datafile\bigscale\+6\8,179,22,126.913,22.375,8.082,0.968783,0.959373,0.975086,0.965533
.\datafile\bigscale\+6\9,179,22,126.289,22.375,7.886,0.964653,0.972312,0.976878,0.969997
.\datafile\bigscale\+6\10,179,22,128.031,22.375,8.046,0.965823,0.970321,0.97529,0.969295
.\datafile\bigscale\+6\11,179,22,127.753,22.375,8.014,0.96279,0.968982,0.976773,0.967844
.\datafile\bigscale\+6\12,179,22,130.69,22.375,7.986,0.962154,0.964612,0.977061,0.966409
.\datafile\bigscale\+6\13,179,22,130.973,22.375,8.083,0.958462,0.961764,0.976411,0.963468
.\datafile\bigscale\+6\14,179,22,126.109,22.375,7.904,0.958831,0.969799,0.981102,0.968313
.\datafile\bigscale\+6\15,179,22,127.298,22.375,7.91,0.961823,0.963898,0.982666,0.967022
.\datafile\bigscale\+7\1,199,25,139.943,24.875,8.827,0.963559,0.964615,0.976824,0.966961
.\datafile\bigscale\+7\2,199,25,141.131,24.875,8.964,0.965318,0.967463,0.972813,0.967453
.\datafile\bigscale\+7\3,199,25,139.417,24.875,8.822,0.965831,0.966806,0.979394,0.968651
.\datafile\bigscale\+7\4,199,25,141.007,24.875,8.851,0.963322,0.964665,0.973429,0.966022
.\datafile\bigscale\+7\5,199,25,140.234,24.875,8.788,0.95778,0.959365,0.973864,0.962039
.\datafile\bigscale\+7\6,199,25,139.188,24.875,8.802,0.962769,0.973608,0.978787,0.970643
.\datafile\bigscale\+7\7,199,25,140.849,24.875,8.888,0.961296,0.967392,0.979602,0.967694
.\datafile\bigscale\+7\8,199,25,141.417,24.875,8.9,0.959436,0.959474,0.982598,0.96421
.\datafile\bigscale\+7\9,199,25,140.321,24.875,8.85,0.958601,0.96695,0.977925,0.966426
