pid_num,vm,task_num,task,setup,duration,cutting
18408,v13,0,t17,1520398461.939,4.292,1520398466.232
16884,v23,0,t11,1520398462.007,4.241,1520398466.249
15964,v32,0,t13,1520398462.034,4.741,1520398466.776
1448,v12,0,t14,1520398461.789,5.101,1520398466.89
14092,v22,0,t18,1520398461.992,5.437,1520398467.43
16808,v31,0,t15,1520398462.02,5.544,1520398467.565
14396,v11,0,t16,1520398461.577,6.208,1520398467.786
14404,v21,0,t12,1520398461.98,6.129,1520398468.11
16884,v12,1,t111,1520398466.249,5.453,1520398471.702
15964,v13,1,t19,1520398466.777,5.292,1520398472.069
16808,v23,1,t110,1520398467.565,5.841,1520398473.407
18408,v11,1,t112,1520398466.233,7.331,1520398473.565
14404,v32,1,t23,1520398468.11,5.793,1520398473.905
14092,v22,1,t22,1520398467.43,7.409,1520398474.84
14396,v31,1,t113,1520398467.786,7.591,1520398475.378
1448,v21,1,t21,1520398466.89,8.822,1520398475.712
15964,v12,2,t27,1520398472.069,6.718,1520398478.788
16808,v13,2,t211,1520398473.407,5.645,1520398479.053
16884,v11,2,t210,1520398471.702,7.623,1520398479.325
14092,v23,2,t26,1520398474.84,5.795,1520398480.635
14404,v22,2,t28,1520398473.905,7.239,1520398481.144
18408,v21,2,t24,1520398473.565,8.342,1520398481.909
1448,v32,2,t29,1520398475.712,6.532,1520398482.245
14396,v31,2,t25,1520398475.378,7.513,1520398482.892
16884,v13,3,t212,1520398479.325,4.256,1520398483.581
16808,v12,3,t216,1520398479.053,4.897,1520398483.95
15964,v11,3,t213,1520398478.788,5.817,1520398484.606
14404,v22,3,t214,1520398481.144,4.974,1520398486.118
18408,v23,3,t217,1520398481.909,4.865,1520398486.775
14396,v32,3,t215,1520398482.892,4.584,1520398487.476
14092,v21,3,t32,1520398480.635,6.965,1520398487.601
1448,v31,3,t31,1520398482.245,5.544,1520398487.789
15964,v13,4,t310,1520398484.606,4.574,1520398489.18
16808,v12,4,t37,1520398483.95,5.971,1520398489.922
16884,v11,4,t36,1520398483.581,7.602,1520398491.183
14396,v23,4,t34,1520398487.476,4.088,1520398491.565
18408,v22,4,t39,1520398486.775,5.44,1520398492.216
14404,v21,4,t33,1520398486.118,6.63,1520398492.749
1448,v32,4,t35,1520398487.789,5.655,1520398493.445
14092,v31,4,t38,1520398487.601,6.881,1520398494.482
16808,v12,5,t311,1520398489.922,6.603,1520398496.526
16884,v13,5,t313,1520398491.183,5.728,1520398496.912
15964,v11,5,t315,1520398489.18,8.127,1520398497.309
14404,v23,5,t312,1520398492.749,5.834,1520398498.583
18408,v22,5,t41,1520398492.216,7.307,1520398499.524
14396,v21,5,t42,1520398491.565,8.588,1520398500.154
14092,v32,5,t314,1520398494.482,6.535,1520398501.017
15964,v13,6,t48,1520398497.309,3.921,1520398501.23
1448,v31,5,t316,1520398493.445,7.808,1520398501.253
16884,v12,6,t45,1520398496.912,4.849,1520398501.762
16808,v11,6,t49,1520398496.527,6.674,1520398503.201
14396,v23,6,t410,1520398500.154,4.086,1520398504.241
18408,v22,6,t44,1520398499.524,5.047,1520398504.571
14404,v21,6,t43,1520398498.583,6.054,1520398504.637
15964,v32,6,t47,1520398501.23,4.57,1520398505.8
14092,v31,6,t46,1520398501.017,6.085,1520398507.102
1448,v11,7,t51,1520398501.253,5.941,1520398507.195
16884,v12,7,t414,1520398501.762,5.785,1520398507.547
16808,v13,7,t412,1520398503.201,4.923,1520398508.124
14404,v23,7,t411,1520398504.637,4.763,1520398509.401
18408,v22,7,t53,1520398504.571,6.088,1520398510.659
14396,v21,7,t54,1520398504.241,6.933,1520398511.174
15964,v31,7,t52,1520398505.8,6.454,1520398512.255
14092,v32,7,t413,1520398507.102,6.238,1520398513.34
16808,v13,8,t511,1520398508.124,5.517,1520398513.642
16884,v12,8,t510,1520398507.547,6.776,1520398514.323
1448,v11,8,t57,1520398507.195,8.466,1520398515.661
14396,v23,8,t512,1520398511.174,5.94,1520398517.114
14404,v21,8,t58,1520398509.402,7.736,1520398517.139
18408,v22,8,t59,1520398510.659,7.214,1520398517.874
16884,v12,9,t515,1520398514.323,4.814,1520398519.137
15964,v31,8,t56,1520398512.255,7.085,1520398519.34
16808,v11,9,t519,1520398513.642,5.821,1520398519.463
14092,v32,8,t55,1520398513.34,6.527,1520398519.868
1448,v13,9,t518,1520398515.661,4.949,1520398520.611
14404,v23,9,t517,1520398517.139,4.3,1520398521.44
14396,v22,9,t514,1520398517.114,5.548,1520398522.663
18408,v31,9,t516,1520398517.874,5.999,1520398523.873
16884,v32,9,t513,1520398519.137,5.469,1520398524.606
